AUPR,AUC,F1 Score,Accuracy,Recall,Specificity,Precision
0.497160474391838,0.8561692172574842,0.49879907847654525,0.8728723999452948,0.5525629887054735,0.914283307358578,0.454569820423479
0.49631218501143626,0.8567176716595138,0.49754784113857103,0.8700749710932352,0.5619026933101651,0.9099167403788102,0.4464193270060397
0.4992837139579806,0.8566569889782671,0.49962564342536264,0.8670537479330109,0.5797675933970461,0.9041952739985679,0.4389491859891465
0.4974347958861397,0.8563751698663733,0.4960460802499268,0.8716415312503886,0.5518027801911382,0.9129915897954313,0.45052314240113495
0.495725235218234,0.8568555373226439,0.49904059040590404,0.8734070196814661,0.5507710686359687,0.9151187116521349,0.45619321759467485
0.49621336543737304,0.8566535042260837,0.4992895291293057,0.8729469980480163,0.5533231972198088,0.9142692669502829,0.45487010088384966
0.49969739173672334,0.8569412066090849,0.49835840642916646,0.8727232037398516,0.5522371850564727,0.9141569436839223,0.45405839807125636
0.4931873696845387,0.8562324057658357,0.49706494982010985,0.8679116261143092,0.5701563857515204,0.9064066383050419,0.4405840886203424
0.4938936042532097,0.8575515522912562,0.49822295523705545,0.8657171985925824,0.5823197219808862,0.9023559805119132,0.4353509519749929
0.49690249024498145,0.8570093402520098,0.4986766494193948,0.8692979075232187,0.5678214596003476,0.9082740126082867,0.4445436381413935
